Window,MV_VaR,MV_Return,MV_Violation
1,-3.6143615425100246,0.29524333742656395,True
2,-3.9178680624306588,2.6890197195669328,True
3,-5.421873801147115,1.0502738258661264,True
4,-2.332125292762963,-0.28562008931627036,True
5,-1.810077268706112,0.31726759989255915,True
6,-1.3642252614098618,-0.32227127863027216,True
7,-1.3878545446973634,-0.7435595153790249,True
8,0.5687718423290636,-0.7359961242190683,True
9,-0.7880708687062333,-0.29955860202425,True
10,-0.14558448688182288,-0.9378167102781824,True
11,0.6324927592405991,0.10373418935131307,False
12,-0.09418979151018549,-0.4567508761890182,True
13,-1.6637608311339607,0.7172626842156351,True
14,-0.934311754042525,-0.8007017560060213,True
15,-0.09527599004407523,-0.5359245675706092,True
16,-0.5033772621628838,2.5344785391392604,False
17,-1.032898968816114,-0.8957279030278162,True
18,0.7178938998457863,0.0007426025879266884,False
19,0.3254228468323147,1.3774123249802743,False
20,-0.38276486042140556,-0.3459871771650207,True
21,0.3941170144622056,-0.38250037381036206,False
22,-0.6684932213565995,1.364389864686863,False
23,-2.8799634800649723,0.9650941713100498,True
24,-0.7070004861958762,2.7850016583788513,False
25,-3.1669846888467394,-0.8953666816249087,True
26,-0.4181719342347454,-0.019489592075726314,True
27,-0.6959397612025756,-0.6582439211520643,True
28,-2.0868210868220323,-0.1428168387107478,True
29,-2.637673300292086,-0.773036172214471,True
30,-1.3051139364529916,-0.42219995004800603,True
31,-0.3688139116563494,1.0420216348104532,False
32,-1.9452708388059632,6.4874646818447825,False
33,-3.507731437282342,-0.770026007212042,True
34,-1.6174503771231545,-0.24651041814650365,True
35,-0.5539870463021686,0.8641877865080514,False
36,-1.2612434352690065,0.0509320854492914,True
37,-1.0335777743468222,-0.30491331175471537,True
38,-0.6733591343430353,1.052705355187253,False
39,-0.05351743463724688,0.2985952735548665,False
40,-0.44258379925803015,-0.7916501501969049,True
41,-0.5780986985447721,-0.8395370420630535,True
42,-1.4246204121194168,0.6826666070144347,True
43,-1.7486969704883493,-0.9368272119687985,True
44,-0.3198238943985421,-0.2180510177970123,True
45,-4.380756025267484,-0.7874420016278727,True
46,-3.1188681456379435,2.094860891487288,True
47,-2.9832275194801836,0.2766964184549727,True
48,-1.7323748138431936,-0.4722294778217113,True
49,-1.039029541538867,0.8893568121946378,True
50,-2.0487792643809004,-0.7799301096753515,True
51,0.13569217775956688,-0.4284074294603889,True
52,-1.4756421000151563,-0.47943260607299243,True
